Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;Libell_d_acheminement;coordonnees_gps
14745;VIERVILLE SUR MER;14710;;VIERVILLE SUR MER;VIERVILLE SUR MER;49.3669899516,-0.901543572922
14753;VILLERS CANIVET;14420;;VILLERS CANIVET;VILLERS CANIVET;48.9336012913,-0.261312485378
14758;VILLONS LES BUISSONS;14610;;VILLONS LES BUISSONS;VILLONS LES BUISSONS;49.2361922294,-0.411267584761
14761;VIMONT;14370;;VIMONT;VIMONT;49.1416235427,-0.194706905612
14762;VIRE NORMANDIE;14500;COULONCES;VIRE NORMANDIE;VIRE NORMANDIE;48.8512498219,-0.889601911342
14762;VIRE NORMANDIE;14500;VAUDRY;VIRE NORMANDIE;VIRE NORMANDIE;48.8512498219,-0.889601911342
15003;ALLY;15700;DRIGNAC;ALLY;ALLY;45.1644412736,2.32569985798
15016;AYRENS;15250;;AYRENS;AYRENS;44.9909323836,2.32370356489
15018;BARRIAC LES BOSQUETS;15700;;BARRIAC LES BOSQUETS;BARRIAC LES BOSQUETS;45.1477013694,2.26530852152
15025;ALBEPIERRE BREDONS;15300;;ALBEPIERRE BREDONS;ALBEPIERRE BREDONS;45.0773628092,2.82044100103
15027;PUYCAPEL;15340;CALVINET;PUYCAPEL;PUYCAPEL;44.7211847531,2.36192054351
